2016 Academic Senate Faculty,13%,,87%
Non-Senate Instructional Faculty,86%,,
Librarian,,,
Research,23%,77%,
Other Academic Titles,,,
Medical Interns and Residents,,,
2014 Academic Senate Faculty,10%,,90%
Non-Senate Instructional Faculty,92%,,
Librarian,,,
Research,21%,79%,
Other Academic Titles,,,
Medical Interns and Residents,,,
2012 Academic Senate Faculty,,90%,
Non-Senate Instructional Faculty,83%,,
Librarian,,,
Research,24%,76%,
Other Academic Titles,,,
Medical Interns and Residents,,,
