2016 Academic Senate Faculty,14%,,86%
Non-Senate Instructional Faculty,80%,,
Librarian,,,
Research,23%,77%,
Other Academic Titles,,,
Medical Interns and Residents,,,
2014 Academic Senate Faculty,11%,,89%
Non-Senate Instructional Faculty,84%,,
Librarian,,,
Research,24%,76%,
Other Academic Titles,,,
Medical Interns and Residents,,,
2012 Academic Senate Faculty,11%,,89%
Non-Senate Instructional Faculty,81%,,
Librarian,,,
Research,25%,75%,
Other Academic Titles,,,
Medical Interns and Residents,,,
